전체,2015년 1분기 지하1층,2015년 1분기 1층,2015년 1분기 2층,2015년 2분기 지하1층,2015년 2분기 1층,2015년 2분기 2층,2015년 3분기 지하1층,2015년 3분기 1층,2015년 3분기 2층,2015년 4분기 지하1층,2015년 4분기 1층,2015년 4분기 2층,2016년 1분기 지하1층,2016년 1분기 1층,2016년 1분기 2층,2016년 2분기 지하1층,2016년 2분기 1층,2016년 2분기 2층,2016년 3분기 지하1층,2016년 3분기 1층,2016년 3분기 2층,2016년 4분기 지하1층,2016년 4분기 1층,2016년 4분기 2층
광양 임대료,0,6.3,2.6,0,6.3,2.6,0,6.3,2.6,0,6.3,2.6,0,6.3,2.6,0,6.3,2.6,0,6.1,2.6,0,6.1,2.6
광양 효용비율,0,100,40.9,0,100,40.9,0,100,40.9,0,100,40.9,0,100,40.6,0,100,40.7,0,100,41.8,0,100,41.8
광양1 임대료,0,10.9,5.5,0,10.9,5.5,0,10.9,5.5,0,10.9,5.5,0,11.1,5.6,0,11,5.6,0,11,5.6,0,11,5.6
광양1 효용비율,0,100,50.7,0,100,50.7,0,100,50.7,0,100,50.7,0,100,50.9,0,100,51.1,0,100,51.1,0,100,51.1
나주구시가지 임대료,0,13.4,4.3,0,13.4,4.3,0,13.4,4.3,0,13.4,4.3,0,13.4,4.3,0,13.4,4.3,0,13.4,4.3,0,13.2,4.3
나주구시가지 효용비율,0,100,32.3,0,100,32.3,0,100,32.3,0,100,32.4,0,100,32.4,0,100,32.4,0,100,32.4,0,100,32.8
목포 임대료,0,7.6,3.3,0,7.6,3.2,0,7.8,3.2,0,7.8,3.3,0,7.8,3.3,0,7.9,3.3,0,8,3.4,0,8,3.4
목포 효용비율,0,100,42.7,0,100,42.3,0,100,41.5,0,100,41.7,0,100,41.7,0,100,41.4,0,100,42.5,0,100,42.5
무선지구 임대료,0,10.7,5.6,0,10.7,5.6,0,10.7,5.6,0,10.7,5.6,0,10.7,5.6,0,10.7,5.6,0,10.7,5.6,0,10.7,5.6
무선지구 효용비율,0,100,52.2,0,100,52.2,0,100,52.2,0,100,52.2,0,100,52.2,0,100,52.2,0,100,52.3,0,100,52.3
순천 임대료,0,9.6,4.2,0,9.6,4.2,0,9.6,4.2,0,9.6,4.2,0,9.6,4.3,0,9.6,4.3,0,9.6,4.3,0,9.9,4.3
순천 효용비율,0,100,44.1,0,100,44.1,0,100,44.1,0,100,44.1,0,100,45.1,0,100,45.1,0,100,44.9,0,100,43.7
여수 임대료,1.5,10.3,3.9,1.5,10.4,3.9,1.5,10.4,3.9,1.5,10.4,3.9,1.5,10.4,3.9,1.5,10.4,3.9,1.4,10.4,3.9,1.4,10.3,3.8
여수 효용비율,14.12,100,37.5,14.02,100,37.2,14.01,100,37.2,14.01,100,37.2,13.94,100,37.2,13.94,100,37.2,13.87,100,37.2,13.67,100,37.1
조례 임대료,3.3,10.1,4.8,3.3,10.1,4.8,3.3,10.1,4.8,3.3,10.1,4.8,3.3,10.1,4.7,3.2,10.1,4.7,3.2,10.1,4.7,3.2,10,4.7
조례 효용비율,33.13,100,47.3,33.13,100,47.3,33.13,100,47.3,33.2,100,47.4,32.51,100,46.7,32.26,100,46.4,32.26,100,46.4,32.3,100,46.5
하당신도심 임대료,0,11.6,7.4,0,11.6,7.4,0,11.6,7.4,0,11.8,7.4,0,11.8,7.4,0,11.9,7.4,0,12,7.4,0,12,7.4
하당신도심 효용비율,0,100,63.7,0,100,63.7,0,100,63.7,0,100,62.5,0,100,62.5,0,100,61.9,0,100,61.7,0,100,61.7
경상북도 임대료,0,12.4,5.4,0,12.4,5.4,0,12.4,5.4,0,12.4,5.3,1.6,12.3,5.4,1.6,12.3,5.4,1.6,12.3,5.4,1.6,12.3,5.4
경상북도 효용비율,0,100,43.3,0,100,43.4,0,100,43.3,0,100,43.3,12.73,100,44,12.71,100,44,12.76,100,44.1,12.79,100,44.3
경주 임대료,0,20.8,6.1,0,20.8,6.1,0,20.8,6.1,0,20.8,6.1,0,20.9,6.2,0,20.9,6.2,0,20.9,6.2,0,20.9,6.2
경주 효용비율,0,100,29.1,0,100,29.1,0,100,29.1,0,100,29.1,0,100,29.7,0,100,29.7,0,100,29.7,0,100,29.7
구미 임대료,0,9.7,4.8,0,9.6,4.8,0,9.6,4.8,0,9.6,4.8,1.6,10,4.7,1.6,10,4.7,1.6,10,4.7,1.6,10,4.7
구미 효용비율,0,100,49.2,0,100,49.5,0,100,49.5,0,100,49.5,15.68,100,47.1,15.68,100,47.1,15.68,100,47.1,15.68,100,47.1
구미산업단지 임대료,0,17.7,0,0,17.7,0,0,17.8,0,0,17.8,0,0,17.8,0,0,17.8,0,0,17.8,0,0,17.7,0
구미산업단지 효용비율,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0
문경 임대료,0,8.9,4.2,0,8.8,4.2,0,8.8,4.2,0,8.8,4.2,0,8.8,4.2,0,9.1,4.2,0,9.1,4.2,0,9,4.1
문경 효용비율,0,100,47.4,0,100,47.8,0,100,47.8,0,100,47.8,0,100,47.6,0,100,46,0,100,45.8,0,100,45.6
안동 임대료,0,13.8,4.9,0,13.8,4.9,0,13.8,4.9,0,13.8,4.9,0,13.9,4.9,0,14.1,4.9,0,14,4.9,0,14,4.9
안동 효용비율,0,100,35.5,0,100,35.5,0,100,35.5,0,100,35.5,0,100,35.1,0,100,34.8,0,100,34.8,0,100,34.7
영주1 임대료,0,5.5,2.3,0,5.5,2.3,0,5.5,2.3,0,5.5,2.3,0,5.5,2.3,0,5.5,2.3,0,5.5,2.3,0,5.5,2.4
영주1 효용비율,0,100,40.9,0,100,40.9,0,100,40.9,0,100,40.9,0,100,40.9,0,100,40.9,0,100,41.1,0,100,44.2
옥동사거리 임대료,0,9.4,3.4,0,9.4,3.4,0,9.4,3.4,0,9.4,3.4,0,9.4,3.4,0,9.3,3.4,0,8.9,3.4,0,8.9,3.4
옥동사거리 효용비율,0,100,36.7,0,100,36.7,0,100,36.7,0,100,36.7,0,100,36.8,0,100,36.8,0,100,38.6,0,100,38.8
포항 임대료,0,12.3,9.2,0,12.3,9.2,0,12.3,9.2,0,11.9,9.1,0,11.7,9,0,11.7,9,0,11.6,9,0,11.6,9
포항 효용비율,0,100,74.7,0,100,74.7,0,100,74.7,0,100,76,0,100,77.3,0,100,77.2,0,100,77.5,0,100,77.6
경상남도 임대료,2.8,13.3,6,2.8,13.3,5.9,2.8,13.3,5.9,2.8,13.1,5.9,2.7,13.1,5.7,2.7,13.1,5.5,2.7,13.1,5.5,2.7,13.1,5.5
경상남도 효용비율,20.72,100,45,20.71,100,44.7,20.76,100,44.4,20.99,100,44.9,20.93,100,43.2,20.94,100,41.9,20.99,100,41.9,20.99,100,41.8
거제 임대료,0,22.6,9.3,0,22.6,9.3,0,22.4,9.2,0,22.4,9.2,0,22.4,9.2,0,22.3,9.2,0,22.1,9.2,0,22.1,9.2
거제 효용비율,0,100,41.2,0,100,41.2,0,100,41.2,0,100,41.2,0,100,41.3,0,100,41.4,0,100,41.8,0,100,41.8
김해 임대료,0,9.9,5.9,0,9.9,5.9,0,9.9,5.9,0,9.9,5.9,0,9.9,5.6,0,9.9,5.6,0,10,5.6,0,10.2,5.6
김해 효용비율,0,100,60.1,0,100,59.9,0,100,59.9,0,100,59.9,0,100,56.1,0,100,56.1,0,100,55.6,0,100,54.7
양산 임대료,0,8.8,3.3,0,8.8,3.3,0,8.8,3.3,0,8.3,3.3,0,8.4,3.3,0,8.4,3.3,0,8.4,3.3,0,8.4,3.3
양산 효용비율,0,100,37.4,0,100,37.4,0,100,37.4,0,100,39.5,0,100,39.4,0,100,39.4,0,100,39.4,0,100,39.4
진주 임대료,2.8,15.1,6.2,2.8,15.2,6,2.8,15.2,5.7,2.8,15.2,5.7,2.7,15.2,5,2.7,15.2,5,2.7,15.1,5,2.7,15.1,5
진주 효용비율,18.19,100,41.2,18.16,100,39.8,18.12,100,37.4,18.12,100,37.4,18.05,100,32.7,18.11,100,32.7,18.22,100,32.9,18.22,100,32.9
창원시 마산 동서동 임대료,0,12.1,10.2,0,12.1,10.2,0,12.1,10.3,0,12.2,10.3,0,12.3,10.6,0,12.5,9.5,0,12.5,9.4,0,12.4,9.3
창원시 마산 동서동 효용비율,0,100,83.8,0,100,83.8,0,100,84.9,0,100,85,0,100,85.9,0,100,75.7,0,100,75.5,0,100,75.1
활천동 임대료,0,8.2,4,0,8.2,4,0,8.2,4,0,8.2,4,0,8,3.6,0,8,3.6,0,8,3.6,0,8,3.6
활천동 효용비율,0,100,48.9,0,100,48.9,0,100,48.9,0,100,48.9,0,100,45.2,0,100,44.9,0,100,44.8,0,100,44.4
제주특별자치도 임대료,4.7,12.3,6.7,4.7,12.3,6.7,4.7,12.4,6.7,4.7,12.4,6.7,6.4,12.4,7.1,5.8,12.3,6.7,4.4,12.2,6.1,4.4,12.2,6.1
제주특별자치도 효용비율,37.98,100,54.3,37.92,100,54.2,37.71,100,53.9,37.7,100,54.1,51.63,100,57.2,47.02,100,55,35.69,100,50.2,35.73,100,50.2
노형오거리 임대료,5.2,17,6.9,5.2,17,6.9,5.2,17.1,6.9,5.2,17.1,6.9,7.3,17,8.1,7.3,17.2,8.1,4.9,17.1,6.5,4.9,17.1,6.5
노형오거리 효용비율,30.37,100,40.7,30.37,100,40.7,30.19,100,40.4,30.16,100,40.4,43.21,100,47.5,42.75,100,47,28.84,100,37.8,28.84,100,37.8
서귀포도심 임대료,0,11.6,8.7,0,11.8,8.7,0,11.8,8.7,0,11.8,8.7,0,11.9,8.7,0,11.9,8.7,0,12,8.7,0,11.9,8.7
서귀포도심 효용비율,0,100,75.1,0,100,74.2,0,100,74.1,0,100,74.1,0,100,73.8,0,100,73.8,0,100,73,0,100,73.6
제주시 임대료,3.4,10.9,6.1,3.4,10.9,6.1,3.4,11,6.1,3.4,11.1,6.1,3.4,11.1,6.1,3.7,10.4,5.1,3.7,10.4,5.1,3.7,10.4,5.1
제주시 효용비율,31.08,100,55.9,31.08,100,55.9,30.71,100,55.3,30.56,100,55.4,30.43,100,55.2,35.82,100,49.2,35.82,100,49.2,35.82,100,49.2
