전체,2015년 1분기 지하1층,2015년 1분기 1층,2015년 1분기 2층,2015년 2분기 지하1층,2015년 2분기 1층,2015년 2분기 2층,2015년 3분기 지하1층,2015년 3분기 1층,2015년 3분기 2층,2015년 4분기 지하1층,2015년 4분기 1층,2015년 4분기 2층,2016년 1분기 지하1층,2016년 1분기 1층,2016년 1분기 2층,2016년 2분기 지하1층,2016년 2분기 1층,2016년 2분기 2층,2016년 3분기 지하1층,2016년 3분기 1층,2016년 3분기 2층,2016년 4분기 지하1층,2016년 4분기 1층,2016년 4분기 2층
동성로 임대료,0,23.6,7.9,0,23.6,7.9,0,23.1,7.7,0,23.3,7.7,0,23.4,7.7,0,23.8,7.7,0,23.8,7.9,0,23.8,7.8
동성로 효용비율,0,100,33.6,0,100,33.5,0,100,33.2,0,100,32.9,0,100,33,0,100,32.5,0,100,33.1,0,100,32.9
들안길 임대료,7.2,19.3,7.6,7.2,19.3,7.5,7.2,19.4,7.5,7.2,19.4,7.5,7.2,19.5,7.4,7.1,20.2,7.3,7.1,20.2,7.3,7.1,20.2,7.3
들안길 효용비율,37.27,100,39.2,37.34,100,39,37.03,100,38.7,37.07,100,38.6,36.94,100,38.2,34.93,100,36.3,34.93,100,36.3,34.93,100,36.3
상인월배 임대료,1.1,22.4,4.9,1.1,22.4,4.9,1.1,22.4,4.9,1.1,22.4,4.9,1.1,22.4,4.9,1.1,22.4,4.9,1.1,22.4,4.9,1.1,22.4,5.1
상인월배 효용비율,5.06,100,21.8,5.06,100,21.8,5.06,100,21.8,5.06,100,21.8,5.06,100,21.8,5.06,100,21.8,5.06,100,21.8,5.06,100,22.7
수성 임대료,0,16.9,7,0,16.9,7,0,16.9,7,0,16.9,7,0,17,7,0,17,7,0,17.3,7,0,17.8,7
수성 효용비율,0,100,41.3,0,100,41.3,0,100,41.3,0,100,41.3,0,100,41.2,0,100,41.2,0,100,40.4,0,100,39.2
죽전 임대료,0,19.9,4.6,0,19.9,4.6,0,19.9,4.6,0,19.9,4.6,0,19.9,4.6,0,19.9,4.6,0,20.6,4.6,0,20.6,4.6
죽전 효용비율,0,100,23.2,0,100,23.2,0,100,23.2,0,100,23.2,0,100,23.2,0,100,23.2,0,100,22.4,0,100,22.4
인천광역시 임대료,4.2,14.5,6.8,4.2,14.6,6.8,4,14.8,7,3.9,14.9,7,3.8,15.2,7.2,3.7,15,7.2,3.7,15.2,7.2,3.7,15.2,7.2
인천광역시 효용비율,28.68,100,47,28.47,100,46.5,26.83,100,47.4,25.95,100,47.2,25.13,100,47.1,24.46,100,47.8,24.09,100,47,24.09,100,47.1
구월간석 임대료,4.2,10.8,5.1,4.2,10.8,5.1,4.2,10.8,5.1,4.2,10.8,5.2,4.1,11,5.2,3.7,10.2,5.2,3.7,10.6,5.2,3.7,10.6,5.2
구월간석 효용비율,39.24,100,47,39.24,100,47,39.24,100,47,39.13,100,47.9,37.44,100,47.6,36.43,100,51.2,35.03,100,49.3,35.03,100,49.3
부평 임대료,2.8,21.9,9.7,2.8,21.9,9.7,2.8,21.9,9.7,2.8,22,9.7,2.8,22.4,9.9,2.8,22.6,9.9,2.8,22.7,9.9,2.8,22.8,9.9
부평 효용비율,12.97,100,44.2,12.97,100,44.2,12.97,100,44.2,12.96,100,44.2,12.68,100,44,12.58,100,43.7,12.52,100,43.5,12.49,100,43.5
신포동 임대료,3.3,11.8,8,3.3,12.1,7.9,1.6,12,7.7,1.6,12.1,7.7,1.6,12.9,8.1,1.6,12.9,8.1,1.6,12.9,8.1,1.6,12.9,8.1
신포동 효용비율,28.07,100,67.4,27.46,100,65.1,13.24,100,64.1,13.19,100,63.8,12.32,100,62.6,12.32,100,62.6,12.31,100,62.6,12.36,100,62.9
주안 임대료,4.9,14.4,5.4,4.9,14.7,5.5,5.5,15.6,6.4,4.6,15.8,6.4,4.6,15.9,6.3,4.6,15.9,6.3,4.7,16.3,6.3,4.7,16.3,6.3
주안 효용비율,33.81,100,37.7,33.17,100,37.3,35.15,100,41.2,29.16,100,40.3,29.14,100,40,29.15,100,40,28.65,100,38.4,28.65,100,38.3
광주광역시 임대료,3.7,13.9,4.5,3.7,14,4.5,3.7,14,4.5,3.7,14.2,4.4,3.7,14.3,4.4,3.7,14.3,4.4,3.7,14.3,4.4,3.7,14.3,4.4
광주광역시 효용비율,26.3,100,32.1,26.23,100,32.1,26.23,100,32.1,25.72,100,30.7,25.7,100,30.7,25.65,100,30.6,25.61,100,30.4,25.67,100,30.5
금남로/충장로 임대료,3.7,19.4,5.1,3.7,19.4,5.1,3.7,19.4,5.1,3.7,19.4,5.1,3.7,19.4,5.1,3.7,19.4,5.1,3.7,19.5,5.1,3.7,19.5,5.1
금남로/충장로 효용비율,18.89,100,26.1,18.89,100,26.1,18.89,100,26.1,18.89,100,26.1,18.89,100,26.1,18.89,100,26.1,18.79,100,25.9,18.79,100,25.9
봉선동 임대료,,9.3,5.3,0,9.3,5.3,0,9.3,5.3,0,9.3,5.3,0,9.3,5.3,0,9.6,5.3,0,9.6,5.3,0,9.6,5.3
봉선동 효용비율,,100,56.7,0,100,56.7,0,100,56.7,0,100,56.7,0,100,56.7,0,100,55.1,0,100,55.1,0,100,55.1
송정동지구 임대료,,15.2,3,0,15.2,3,0,15.2,3,0,16.9,2.2,0,16.9,2.2,0,16.9,2.2,0,16.9,2.2,0,16.7,2.2
송정동지구 효용비율,,100,19.4,0,100,19.4,0,100,19.4,0,100,12.8,0,100,12.8,0,100,12.8,0,100,12.8,0,100,13
양산지구 임대료,,13.4,4.4,0,13.6,4.5,0,13.6,4.5,0,13.5,4.4,0,13.5,4.4,0,13.5,4.4,0,13.5,4.3,0,13.5,4.3
양산지구 효용비율,,100,32.9,0,100,33.1,0,100,33.1,0,100,32.8,0,100,32.8,0,100,32.9,0,100,31.6,0,100,31.6
월산동지구 임대료,,7.4,3.4,0,7.4,3.4,0,7.4,3.4,0,7.4,3.4,0,7.4,3.4,0,7.5,3.4,0,7.5,3.4,0,7.4,3.4
월산동지구 효용비율,,100,46.1,0,100,46.1,0,100,46.1,0,100,46.1,0,100,45.7,0,100,45.4,0,100,45.4,0,100,45.8
대전광역시 임대료,2.8,12.3,6.1,2.8,12.3,6.1,2.8,12.3,6.1,2.8,12.3,6.1,2.8,12.5,6.1,2.8,12.5,6.1,2.6,12.3,6,2.6,12.4,6
대전광역시 효용비율,22.52,100,49.5,22.55,100,49.6,22.51,100,49.8,22.47,100,49.7,22.21,100,49,22.19,100,48.7,21.34,100,48.8,21.2,100,48.4
복합터미널 임대료,3.6,16.4,9.9,3.6,16.3,9.9,3.6,16.3,9.9,3.6,16.3,9.9,3.6,16.3,9.9,3.6,16.3,9.9,3.6,16.3,9.9,3.6,16.3,9.9
복합터미널 효용비율,21.78,100,60.6,21.91,100,61,21.91,100,61,21.91,100,61,21.91,100,61,21.91,100,61,21.95,100,61.1,21.95,100,61.1
서대전광역시네거리 임대료,0.9,13.7,4.6,0.9,13.7,4.6,0.9,13.7,4.6,0.9,13.7,4.6,1,13.9,4.7,1,13.9,4.7,1,13.7,4.6,0.9,13.7,4.6
서대전광역시네거리 효용비율,6.79,100,34.1,6.79,100,34.1,6.79,100,34.1,6.79,100,34.1,6.88,100,33.9,6.88,100,33.9,6.95,100,33.8,6.79,100,33.8
원도심 임대료,2.4,10.9,4.8,2.4,10.9,4.8,2.4,10.9,4.8,2.4,11,4.8,2.4,11,4.8,2.4,11,4.8,2.2,10.9,4.7,2.2,10.9,4.7
원도심 효용비율,21.55,100,44.1,21.52,100,44,21.61,100,44.5,21.39,100,44,21.45,100,43.7,21.39,100,43.6,20.54,100,43.6,20.39,100,43
유성온천역 임대료,1,9.5,4.7,1,9.5,4.7,1,9.7,4.8,1,9.6,4.8,1,9.6,4.8,1,9.6,4.8,1,9.6,4.8,1,9.6,4.8
유성온천역 효용비율,10.6,100,49,10.6,100,49,10.41,100,49.4,10.47,100,49.6,10.44,100,49.5,10.45,100,49.6,10.44,100,49.5,10.44,100,49.3
울산광역시 임대료,,13.6,8.7,0,13.6,8.7,0,13.6,8.7,0,13.7,8.7,0,13.8,8.7,0,13.7,8.9,0,13.7,8.7,0,13.7,8.7
울산광역시 효용비율,,100,64,0,100,64.2,0,100,64.3,0,100,63.8,0,100,63.5,0,100,65,0,100,63.9,0,100,63.4
삼산동 임대료,,12.8,9.5,0,12.8,9.6,0,12.8,9.6,0,12.8,9.6,0,12.8,9.6,0,12.6,9.9,0,12.5,9.7,0,12.5,9.7
삼산동 효용비율,,100,74.3,0,100,75,0,100,75,0,100,75,0,100,74.5,0,100,78.1,0,100,77.5,0,100,77.7
성남옥교동 임대료,,14.4,8.4,0,14.4,8.4,0,14.4,8.4,0,14.4,8.4,0,14.4,8.3,0,14.3,8.3,0,14.2,8.3,0,14.1,8.2
성남옥교동 효용비율,,100,58.4,0,100,58.2,0,100,58.4,0,100,58.6,0,100,58.1,0,100,58.3,0,100,58.3,0,100,57.9
신정동 임대료,,13.4,8.3,0,13.4,8.3,0,13.5,8.3,0,13.8,8.3,0,13.9,8.3,0,13.9,8.4,0,14.1,8.2,0,14.4,8.1
신정동 효용비율,,100,61.5,0,100,61.5,0,100,61.5,0,100,60,0,100,59.7,0,100,60,0,100,57.7,0,100,56.2
세종특별자치시특별자치시 임대료,3.5,14.7,4.1,3.5,14.7,4.1,3.5,14.7,4.1,3.5,14.7,4.1,3.5,15,4.1,3.5,15,4.1,3.5,15,4.1,3.5,15,4.1
세종특별자치시특별자치시 효용비율,24.09,100,27.6,24.03,100,27.5,24.03,100,27.5,24.03,100,27.5,23.57,100,27,23.55,100,27,23.55,100,27,23.59,100,27
경기도 임대료,5.9,23.1,9.6,5.9,23.1,9.5,5.9,22.1,9.3,5.9,22.1,9.2,5.9,22.2,9.5,5.9,22.3,9.5,5.9,22.1,9.5,5.6,22.2,9.5
경기도 효용비율,25.61,100,41.6,25.55,100,40.9,26.73,100,41.8,26.73,100,41.7,26.67,100,42.7,26.55,100,42.6,26.75,100,42.9,25.1,100,42.8
광주광역시시가지 임대료,4,45.3,17.3,4,45.3,16.5,4,37.6,15.5,4,37.6,15.5,4,37.6,15.5,4,37.6,15.5,4,37.6,15.5,3.3,37.6,15.5
광주광역시시가지 효용비율,8.85,100,38.1,8.85,100,36.4,10.72,100,41.3,10.72,100,41.3,10.72,100,41.1,10.72,100,41.1,10.72,100,41.1,8.7,100,41.1
성남구시가지 임대료,9.4,23.4,8.8,9.4,23.9,8.9,9.4,23.9,8.9,9.4,23.9,8.9,9.4,23.9,9.1,9.4,23.9,9.2,9.4,23.9,9.2,9.3,23.9,9.2
성남구시가지 효용비율,40.14,100,37.5,39.29,100,37.3,39.37,100,37.3,39.37,100,37.3,39.36,100,38.2,39.33,100,38.5,39.33,100,38.5,39.17,100,38.5
신장/지산/서정 임대료,,14,7,0,13.7,7,0,13.7,7,0,14.1,7,0,14.1,7,0,14.4,7.1,0,14.4,7.1,0,14.4,7
신장/지산/서정 효용비율,,100,50.2,0,100,51.4,0,100,51.4,0,100,49.8,0,100,49.8,0,100,49.1,0,100,48.9,0,100,48.8
안성시장 임대료,3.1,12,4.7,3.1,12,4.7,3.1,12,4.8,3.2,11.8,4.8,3.2,11.8,4.8,3.2,11.8,4.8,3.2,11.7,4.9,3.2,11.7,4.9
안성시장 효용비율,26.28,100,39.6,26.32,100,39.7,26.28,100,40.1,26.79,100,40.9,26.8,100,40.9,26.8,100,40.9,26.92,100,41.6,26.99,100,41.7
오산시청 임대료,3.1,18,9,3.1,18,9,3.1,18,9,3.1,18.1,9,3.1,18.1,9,3.1,18.1,9,3.1,18.1,9,3.1,18.1,8.9
오산시청 효용비율,17.1,100,50,17.1,100,50,17.1,100,50,17.06,100,49.9,17.06,100,50,16.99,100,49.6,17.01,100,49.5,16.96,100,49.4
의정부역 임대료,0,42.4,11.3,0,43.2,11.3,0,43.2,11.3,0,43.1,11.3,0,43.2,11.3,0,43.4,11.3,0,43.4,11.3,0,45.3,12.2
의정부역 효용비율,0,100,26.7,0,100,26.2,0,100,26.2,0,100,26.2,0,100,26.2,0,100,26,0,100,26,0,100,26.9
이천종합터미널 임대료,3.2,22.1,9.5,3.2,22.1,9.5,3.2,22.2,9.7,3.2,22.2,9.5,3.2,22.4,11.4,3.2,22.4,11.4,3.2,21,11.4,3.2,21,11.4
이천종합터미널 효용비율,14.6,100,42.9,14.6,100,42.8,14.51,100,43.7,14.49,100,42.8,14.36,100,50.9,14.36,100,50.8,15.36,100,54.4,15.37,100,54.4
평택역 임대료,0,17.2,9.6,0,17.4,9.1,0,17.4,9.1,0,18,9,0,18.5,9,0,18.5,9,0,18.4,9,0,18.2,9
평택역 효용비율,0,100,55.5,0,100,52.6,0,100,52.5,0,100,50.3,0,100,48.4,0,100,48.4,0,100,48.7,0,100,49.4
강원도 임대료,1.6,13,7.3,1.6,12.9,7.3,1.5,12.9,7.3,1.5,12.8,7.3,1.5,12.9,7.3,1.5,13.1,7.3,1.5,13,7.2,1.5,12.9,7.2
강원도 효용비율,12.11,100,56.4,11.98,100,56.4,11.77,100,56.5,11.66,100,56.6,11.6,100,56.3,11.4,100,55.3,11.48,100,55.4,11.61,100,55.6
강릉 임대료,2.2,11.9,4.8,2.2,11.9,4.8,2.1,11.9,4.8,2.1,11.9,4.8,2.1,11.9,4.8,2.1,11.9,4.8,2.1,12.1,4.8,2.1,12,4.8
강릉 효용비율,18.69,100,40.5,18.48,100,40.4,18.08,100,40.2,17.88,100,40.1,17.88,100,40.1,17.88,100,40.1,17.57,100,39.4,17.76,100,39.8
속초 임대료,0,14.8,7.5,0,14.8,7.5,0,14.1,6.9,0,14.1,6.9,0,14.1,6.9,0,14.1,6.9,0,14.1,6.9,0,14.1,6.9
속초 효용비율,0,100,51,0,100,50.7,0,100,49,0,100,49,0,100,49,0,100,49,0,100,49,0,100,49
원주 임대료,0,17.3,7,0,17.2,7,0,17.2,7,0,16.9,7,0,17.3,7,0,17.3,7,0,17.2,6.9,0,17,6.9
원주 효용비율,0,100,40.6,0,100,40.7,0,100,40.7,0,100,41.4,0,100,40.4,0,100,40.4,0,100,40.3,0,100,40.5
춘천 임대료,0,9.7,4.8,0,9.7,4.8,0,9.7,4.8,0,9.7,4.8,0,9.7,4.8,0,9.7,4.8,0,9.7,4.8,0,9.9,4.8
춘천 효용비율,0,100,49,0,100,49,0,100,49,0,100,49,0,100,49,0,100,49,0,100,49,0,100,48
충청북도 임대료,3.3,10.9,5.3,3.3,11,5.4,3.3,11,5.4,3.3,11,5.4,3.3,11,5.4,3.3,11.2,5.6,3.3,11.2,5.6,3.3,11.2,5.6
충청북도 효용비율,30.01,100,48.6,29.7,100,48.9,29.71,100,49.1,29.78,100,48.9,29.78,100,49.1,29.32,100,49.8,29.35,100,49.6,29.39,100,49.7
제천시외버스터미널 임대료,5,15.3,4.9,5,15.3,4.9,5,15.4,5.1,5,15.4,5.1,5,15.4,5.1,5,15.4,5.1,5,15,5,5,15,5
제천시외버스터미널 효용비율,32.61,100,31.9,32.59,100,31.8,32.54,100,32.9,32.5,100,32.8,32.5,100,32.8,32.47,100,32.8,33.34,100,33.5,33.34,100,33.4
제천역 임대료,1.2,5.2,3.6,1.2,5.2,3.6,1.2,5.2,3.6,1.2,5.2,3.6,1.2,5.1,3.7,1.2,5.1,3.7,1.2,5.1,3.7,1.2,5.1,3.7
제천역 효용비율,22.81,100,68.8,22.81,100,68.8,22.81,100,68.8,22.81,100,68.8,22.85,100,71.8,22.85,100,71.8,22.96,100,72.1,23.26,100,73.1
청주 임대료,1.9,19.2,8.4,1.9,19.1,8.4,1.9,19.2,8.4,1.1,19.5,8.8,1.1,19.5,8.8,1.1,21.6,9.9,1.1,21.6,9.9,1.1,21.6,9.9
청주 효용비율,10.01,100,44,10.04,100,44.1,10.01,100,44,5.69,100,45.2,5.69,100,45.2,5.13,100,45.7,5.12,100,45.7,5.12,100,45.7
충주 임대료,4.4,8.9,4.8,4.4,8.9,4.8,4.4,8.9,4.8,4.4,8.9,4.8,4.4,8.9,4.8,4.4,8.9,4.7,4.4,8.9,4.6,4.4,8.8,4.6
충주 효용비율,48.75,100,53.8,48.75,100,53.8,48.75,100,53.8,48.75,100,53.8,48.75,100,53.8,49.06,100,52.9,49.17,100,52.4,49.27,100,52.5
